method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,abstention_rate,gamma,criterion,direction
AIPW,0.7253353510360506,0.6899349597884168,0.6488909863142992,0.6361351001241431,0.23151856706534032,0.7101153293968128,0.6887841211009522,0.668417104276069,0.6305005058479809,0.2224331251426504,0.6313215921464176,0.7298693791576426,0.09854778701122502,0.7689466757411865,0.12510449016977354,compas,2,,,,
Imputation,0.6516568746025523,0.6987716126014286,0.653610193487494,0.6392085424875407,0.22239912123818975,0.6362036771034112,0.6948862078420619,0.6759189797449362,0.6356263532615376,0.21433604904075856,0.635564376447305,0.733493787923829,0.09792941147652401,0.6891489350446498,0.04405226795675155,compas,2,,,,
Heckman(rho=-0.44),0.6328689472222502,0.7109961137798888,0.6503067484662577,0.6525588780338605,0.21910006056595033,0.6344659730598425,0.7050374422056863,0.6526631657914479,0.6488670423494038,0.21912099147444752,0.6119170096481715,0.7125220885296768,0.10060507888150527,0.7199203476433392,0.09497308621685015,compas,2,,,,
DCL(G=1),0.6275936043316368,0.7028561918641263,0.6446436998584237,0.6244665443227002,0.21891083477470544,0.6098719957891904,0.6986576118302242,0.6744186046511628,0.6216694401633842,0.210534476488032,0.6391915679273296,0.7373000219249363,0.0981084539976067,0.6559988595793435,0.007250206381212183,compas,2,0.0,1.0,risk,two-sided
DCL-reg(G=1),0.6275936043316368,0.7028561918641263,0.6446436998584237,0.6244665443227002,0.21891083477470544,0.6098719957891904,0.6986576118302242,0.6744186046511628,0.6216694401633842,0.210534476488032,0.6391915679273296,0.7373000219249363,0.0981084539976067,0.6559988595793435,0.007250206381212183,compas,2,0.0,1.0,regret,two-sided
DCL(G=1.5),0.6270389755465454,0.704849678847088,0.6418121755545069,0.6180349399974812,0.21859666771841288,0.6118122008499928,0.700443444304719,0.6676669167291823,0.6078732638068134,0.2113807136386124,0.6391677455173175,0.7367518164141548,0.0975840708968373,0.6499970113633695,0.015078094421905067,compas,2,0.08588957055214724,1.5,risk,two-sided
DCL-reg(G=1.5),0.6274661769183913,0.7029596444828269,0.6446436998584237,0.6244665443227002,0.21885292841120388,0.6098598148134144,0.6987568904059075,0.6744186046511628,0.6216694401633842,0.2105280867641875,0.6392132649536136,0.7372823625527619,0.09806909759914828,0.65554959969632,0.0068009464981886,compas,2,0.0,1.5,regret,two-sided
DCL(G=2),0.6298492010321062,0.704161943829726,0.634261444077395,0.6071197891365754,0.2198335673263022,0.6159534206957203,0.7007117328366254,0.6639159789947486,0.5982597883948072,0.21322823142904282,0.6379847391420985,0.7351465980229492,0.09716185888085072,0.6491956022672648,0.024384291676394335,compas,2,0.17366682397357244,2.0,risk,two-sided
DCL-reg(G=2),0.6272823150959644,0.7032259225274824,0.6446436998584237,0.6244665443227002,0.21876634811322573,0.6098833027337297,0.6990901827671303,0.6744186046511628,0.6216694401633842,0.2105343124625323,0.6392465204230329,0.7372517686665814,0.0980052482435485,0.6547826320366256,0.006391002146635552,compas,2,0.0,2.0,regret,two-sided
DCL(G=3),0.6372691964913395,0.7029425523110416,0.6267107126002831,0.5947005271585614,0.22322650725626064,0.6248380563605878,0.6999813261726691,0.6639159789947486,0.5889736959049952,0.21728265359113907,0.6329990157039591,0.7294698181595494,0.09647080245559025,0.6520802527779999,0.039244236969150754,compas,2,0.2883435582822086,3.0,risk,two-sided
DCL-reg(G=3),0.6270982381415954,0.7036658210539573,0.6446436998584237,0.6244665443227002,0.2186656318898087,0.6101137400830046,0.6997236746310147,0.6744186046511628,0.6216694401633842,0.21061953874441322,0.6393104674959043,0.7371751839912617,0.09786471649535744,0.6534163813268349,0.008011970072214459,compas,2,0.0,3.0,regret,two-sided
Manski(G=inf),0.6802113160165927,0.5887677443730772,0.5526191599811232,0.5036649214659686,0.2436350600329473,0.6757580308460048,0.600377731342719,0.6129032258064516,0.5047984644913628,0.24144591205828878,0.5450149762075696,0.5860963260315099,0.041081349823940294,0.682966228696479,0.09463442192475317,compas,2,,,,
ORACLE(uncensored),0.6486344795008636,0.7016219571436282,0.654554034922133,0.6440159406991598,0.22341742565027892,0.6366651351656052,0.6916962926543309,0.6624156039009752,0.6297015496912909,0.21861617745921721,0.6234423600360832,0.7224615232346359,0.09901916319855264,0.717862198544447,0.0789396019846171,compas,2,,,,
