method,risk,auroc,accuracy,balanced_accuracy,brier,obs_risk,obs_auroc,obs_accuracy,obs_balanced_accuracy,obs_brier,auroc_lo,auroc_hi,auroc_width,worstcase_risk,minimax_regret,dataset,seed,gamma0,selection_rate,true_prevalence,abstention_rate,gamma,criterion,direction
DCL-dir(G=1),0.5601044427597456,0.6274016988462697,0.7471428571428571,0.5053542985061776,0.18680560464227985,0.6103292792569933,0.6221317122200489,0.6793785310734464,0.5044607821593827,0.21048456205952018,0.44409894721906423,0.6862153642132838,0.24211641699421954,0.7187952754370014,0.03985707973538936,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,1.0,risk,censored-lower
DCL-dir-reg(G=1),0.5601044427597456,0.6274016988462697,0.7471428571428571,0.5053542985061776,0.18680560464227985,0.6103292792569933,0.6221317122200489,0.6793785310734464,0.5044607821593827,0.21048456205952018,0.44409894721906423,0.6862153642132838,0.24211641699421954,0.7187952754370014,0.03985707973538935,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,1.0,regret,censored-lower
DCL-dir(G=1.5),0.5601830136737236,0.6274033804726851,0.7466071428571428,0.5024497933617461,0.18684445272451317,0.6103896128234448,0.6221374198294909,0.678319209039548,0.5016694757617803,0.21051510376348467,0.44409893594944755,0.686215185583518,0.24211624963407047,0.7187552131630781,0.03989331384801533,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0033928571428571428,1.5,risk,censored-lower
DCL-dir-reg(G=1.5),0.5543433132929964,0.6298501469068837,0.7466071428571428,0.5029125769512247,0.18450690291535404,0.6110561048287053,0.6208315187891649,0.6786723163841808,0.5025042136426706,0.21091304643286354,0.4431622432747874,0.6858159180721378,0.2426536747973504,0.7330130004554885,0.054121540613790306,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,1.5,regret,censored-lower
DCL-dir(G=2),0.5602121521374911,0.62739951273193,0.7457142857142857,0.500694175384218,0.18685898183528427,0.6103982069711469,0.6221339952638257,0.6772598870056498,0.5000265403839053,0.21051968056476852,0.44409873439782394,0.6862148302844889,0.242116095886665,0.7187479278196798,0.03991200147669348,sl_bench,1,2.999974706559502,0.5045,0.247375,0.004285714285714286,2.0,risk,censored-lower
DCL-dir-reg(G=2),0.5517815444905656,0.6306988637586638,0.7467857142857143,0.5028009169572517,0.1835506959809073,0.61237539333786,0.6195136317690108,0.6786723163841808,0.5022171208877387,0.2115377147632541,0.4421944036940019,0.685246121073382,0.24305171737938008,0.7429534371495812,0.06408331252232391,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,2.0,regret,censored-lower
DCL-dir(G=3),0.5602159741935198,0.6274002694638168,0.7457142857142857,0.5004627835894787,0.18686093089514583,0.6103722556759578,0.6221328537419373,0.676906779661017,0.49947889525794686,0.21050694212329318,0.44409850376915555,0.6862147353385797,0.24211623156942413,0.7187461622758027,0.03992714217078599,sl_bench,1,2.999974706559502,0.5045,0.247375,0.004642857142857143,3.0,risk,censored-lower
DCL-dir-reg(G=3),0.5497432276132106,0.6310192135907702,0.7460714285714286,0.5013964225752292,0.1828568887573429,0.6147870388178699,0.6173749905110993,0.6772598870056498,0.5000265403839053,0.21260748212386082,0.44062948051526696,0.684226016219993,0.24359653570472606,0.7558319031696219,0.07698556681175339,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,3.0,regret,censored-lower
DCL-dir(G=5),0.5602137142896367,0.6273987560000431,0.7453571428571428,0.49976053639846746,0.18685985470251967,0.6103411857874861,0.6221328537419373,0.676906779661017,0.49947889525794686,0.21049152387310002,0.4440981480919586,0.6862143908225851,0.24211624273062649,0.7187467859075007,0.0399357055928696,sl_bench,1,2.999974706559502,0.5045,0.247375,0.005,5.0,risk,censored-lower
DCL-dir-reg(G=5),0.5488006559454478,0.6305532349111025,0.7457142857142857,0.500694175384218,0.1826129341427044,0.6179226584222599,0.6146307718913933,0.6772598870056498,0.5000265403839053,0.2139320738051708,0.43867393133290034,0.6828438729567226,0.24416994162382222,0.7692251949914526,0.090392191491744,sl_bench,1,2.999974706559502,0.5045,0.247375,0.0,5.0,regret,censored-lower
