gamma,log_gamma,B,n,seed,deviation
3.0,1.0986122886681098,6.061902693699693,500,4,0.07840458895748603
3.0,1.0986122886681098,6.061902693699693,500,5,0.08701855196824626
3.0,1.0986122886681098,6.061902693699693,500,6,0.10531583379501575
3.0,1.0986122886681098,6.061902693699693,500,7,0.08767055333795137
3.0,1.0986122886681098,6.061902693699693,1000,0,0.10414272124093293
3.0,1.0986122886681098,6.061902693699693,1000,1,0.05085412679288881
3.0,1.0986122886681098,6.061902693699693,1000,2,0.07800673201548403
3.0,1.0986122886681098,6.061902693699693,1000,3,0.05995058841909984
3.0,1.0986122886681098,6.061902693699693,1000,4,0.10627999404254806
3.0,1.0986122886681098,6.061902693699693,1000,5,0.08891860174609967
3.0,1.0986122886681098,6.061902693699693,1000,6,0.07503098066173441
3.0,1.0986122886681098,6.061902693699693,1000,7,0.07780578169997776
3.0,1.0986122886681098,6.061902693699693,2000,0,0.04378892144770541
3.0,1.0986122886681098,6.061902693699693,2000,1,0.056058559514093
3.0,1.0986122886681098,6.061902693699693,2000,2,0.044663130784967864
3.0,1.0986122886681098,6.061902693699693,2000,3,0.06880746998001497
3.0,1.0986122886681098,6.061902693699693,2000,4,0.05276349003709968
3.0,1.0986122886681098,6.061902693699693,2000,5,0.061611886567831675
3.0,1.0986122886681098,6.061902693699693,2000,6,0.0709896027461061
3.0,1.0986122886681098,6.061902693699693,2000,7,0.0670074327759087
3.0,1.0986122886681098,6.061902693699693,4000,0,0.03521557882392301
3.0,1.0986122886681098,6.061902693699693,4000,1,0.047341293099215864
3.0,1.0986122886681098,6.061902693699693,4000,2,0.03244498698057563
3.0,1.0986122886681098,6.061902693699693,4000,3,0.03801553307257377
3.0,1.0986122886681098,6.061902693699693,4000,4,0.033866834868873985
3.0,1.0986122886681098,6.061902693699693,4000,5,0.028547742082431604
3.0,1.0986122886681098,6.061902693699693,4000,6,0.03912055081472676
3.0,1.0986122886681098,6.061902693699693,4000,7,0.03177949333733654
3.0,1.0986122886681098,6.061902693699693,8000,0,0.03235693426918118
3.0,1.0986122886681098,6.061902693699693,8000,1,0.02474113354836427
3.0,1.0986122886681098,6.061902693699693,8000,2,0.01924927249552022
3.0,1.0986122886681098,6.061902693699693,8000,3,0.03804022928888884
3.0,1.0986122886681098,6.061902693699693,8000,4,0.02624738827616424
3.0,1.0986122886681098,6.061902693699693,8000,5,0.028187132406388926
3.0,1.0986122886681098,6.061902693699693,8000,6,0.031042659010323215
3.0,1.0986122886681098,6.061902693699693,8000,7,0.03422340717917338
6.0,1.791759469228055,6.7550498742596385,250,0,0.16184142308082095
6.0,1.791759469228055,6.7550498742596385,250,1,0.1977967600935715
6.0,1.791759469228055,6.7550498742596385,250,2,0.1540867113551616
6.0,1.791759469228055,6.7550498742596385,250,3,0.14044750627135127
6.0,1.791759469228055,6.7550498742596385,250,4,0.17904761196558638
6.0,1.791759469228055,6.7550498742596385,250,5,0.18780803864505358
6.0,1.791759469228055,6.7550498742596385,250,6,0.19604519617821192
6.0,1.791759469228055,6.7550498742596385,250,7,0.1830328378274355
6.0,1.791759469228055,6.7550498742596385,500,0,0.12871221151405998
6.0,1.791759469228055,6.7550498742596385,500,1,0.10970558168859679
6.0,1.791759469228055,6.7550498742596385,500,2,0.10167692705030218
6.0,1.791759469228055,6.7550498742596385,500,3,0.11439086051928338
6.0,1.791759469228055,6.7550498742596385,500,4,0.10745283256322224
6.0,1.791759469228055,6.7550498742596385,500,5,0.12680306542133035
6.0,1.791759469228055,6.7550498742596385,500,6,0.12872866611349298
6.0,1.791759469228055,6.7550498742596385,500,7,0.1457566827945933
6.0,1.791759469228055,6.7550498742596385,1000,0,0.09022445562293724
6.0,1.791759469228055,6.7550498742596385,1000,1,0.07869663143189642
6.0,1.791759469228055,6.7550498742596385,1000,2,0.0923576755893547
6.0,1.791759469228055,6.7550498742596385,1000,3,0.0668013837379986
6.0,1.791759469228055,6.7550498742596385,1000,4,0.1034339019363113
6.0,1.791759469228055,6.7550498742596385,1000,5,0.09654108931729644
6.0,1.791759469228055,6.7550498742596385,1000,6,0.10316681470337086
6.0,1.791759469228055,6.7550498742596385,1000,7,0.09343610020701121
6.0,1.791759469228055,6.7550498742596385,2000,0,0.07867291433948442
6.0,1.791759469228055,6.7550498742596385,2000,1,0.057460348281180185
6.0,1.791759469228055,6.7550498742596385,2000,2,0.05979915666844082
6.0,1.791759469228055,6.7550498742596385,2000,3,0.06736555631941288
6.0,1.791759469228055,6.7550498742596385,2000,4,0.06133529540349292
6.0,1.791759469228055,6.7550498742596385,2000,5,0.07113174546658652
6.0,1.791759469228055,6.7550498742596385,2000,6,0.05612724350917819
6.0,1.791759469228055,6.7550498742596385,2000,7,0.06228649794060681
6.0,1.791759469228055,6.7550498742596385,4000,0,0.03501682129986383
6.0,1.791759469228055,6.7550498742596385,4000,1,0.039509952357397626
6.0,1.791759469228055,6.7550498742596385,4000,2,0.05411855648791364
6.0,1.791759469228055,6.7550498742596385,4000,3,0.03761330374409311
6.0,1.791759469228055,6.7550498742596385,4000,4,0.03570072339929986
6.0,1.791759469228055,6.7550498742596385,4000,5,0.03002790971480951
6.0,1.791759469228055,6.7550498742596385,4000,6,0.0388258984131451
6.0,1.791759469228055,6.7550498742596385,4000,7,0.039275787092772685
6.0,1.791759469228055,6.7550498742596385,8000,0,0.022608151150015132
